name,owner,description,html_url,readme_url
qiskit-dynamics,Qiskit-Extensions,Tools for building and solving models of quantum systems in Qiskit,https://github.com/Qiskit-Extensions/qiskit-dynamics,https://github.com/Qiskit-Extensions/qiskit-dynamics/blob/master/README.md
delfta,josejimenezluna,Δ-QML for medicinal chemistry,https://github.com/josejimenezluna/delfta,https://github.com/josejimenezluna/delfta/blob/master/README.md
OpenQL,QuTech-Delft,OpenQL: A Portable Quantum Programming Framework for Quantum Accelerators. https://dl.acm.org/doi/10.1145/3474222,https://github.com/QuTech-Delft/OpenQL,https://github.com/QuTech-Delft/OpenQL/blob/master/README.md
TeD-Q,jd-opensource,TeD-Q (Tensor-network enhanced Distributed Quantum) is a tensor network enhanced distributed hybrid quantum machine learning framework.,https://github.com/jd-opensource/TeD-Q,https://github.com/jd-opensource/TeD-Q/blob/main/README.md
TeD-Q,jd-opensource,TeD-Q (Tensor-network enhanced Distributed Quantum) is a tensor network enhanced distributed hybrid quantum machine learning framework.,https://github.com/jd-opensource/TeD-Q,https://github.com/jd-opensource/TeD-Q/blob/master/README.md
Origins,mayabenowitz,A minimalistic-bootstrap to find a quantum theory of the cosmos.,https://github.com/mayabenowitz/Origins,https://github.com/mayabenowitz/Origins/blob/main/README.md
Origins,mayabenowitz,A minimalistic-bootstrap to find a quantum theory of the cosmos.,https://github.com/mayabenowitz/Origins,https://github.com/mayabenowitz/Origins/blob/master/README.md
Braket.jl,amazon-braket,Experimental Julia implementation of the Amazon Braket SDK,https://github.com/amazon-braket/Braket.jl,https://github.com/amazon-braket/Braket.jl/blob/main/README.md
Braket.jl,amazon-braket,Experimental Julia implementation of the Amazon Braket SDK,https://github.com/amazon-braket/Braket.jl,https://github.com/amazon-braket/Braket.jl/blob/master/README.md
Quantum-Computing-UK-Repository,mcoggins96,This repository contains all of the code found in the quantum computing tutorials at : https://quantumcomputinguk.org.,https://github.com/mcoggins96/Quantum-Computing-UK-Repository,https://github.com/mcoggins96/Quantum-Computing-UK-Repository/blob/main/README.md
Quantum-Computing-UK-Repository,mcoggins96,This repository contains all of the code found in the quantum computing tutorials at : https://quantumcomputinguk.org.,https://github.com/mcoggins96/Quantum-Computing-UK-Repository,https://github.com/mcoggins96/Quantum-Computing-UK-Repository/blob/master/README.md
quantum_tsp_tutorials,mstechly,This repository contains code with tutorials of how to approach optimization problems using quantum computing.,https://github.com/mstechly/quantum_tsp_tutorials,https://github.com/mstechly/quantum_tsp_tutorials/blob/master/README.md
espresso,pranabdas,Notes and tutorials on Density Functional Theory calculation using Quantum Espresso. ,https://github.com/pranabdas/espresso,https://github.com/pranabdas/espresso/blob/main/README.md
espresso,pranabdas,Notes and tutorials on Density Functional Theory calculation using Quantum Espresso. ,https://github.com/pranabdas/espresso,https://github.com/pranabdas/espresso/blob/master/README.md
tweedledum,boschmitt,"C++17 Library for analysis, compilation/synthesis, and optimization of quantum circuits",https://github.com/boschmitt/tweedledum,https://github.com/boschmitt/tweedledum/blob/master/README.md
QuantumInformation.jl,iitis,A Julia package for numerical computation in quantum information theory,https://github.com/iitis/QuantumInformation.jl,https://github.com/iitis/QuantumInformation.jl/blob/master/README.md
QUBEKit,qubekit,  Quantum Mechanical Bespoke Force Field Derivation Toolkit,https://github.com/qubekit/QUBEKit,https://github.com/qubekit/QUBEKit/blob/main/README.md
QUBEKit,qubekit,  Quantum Mechanical Bespoke Force Field Derivation Toolkit,https://github.com/qubekit/QUBEKit,https://github.com/qubekit/QUBEKit/blob/master/README.md
gpt,lehner,"A Python toolkit for lattice field theory, quantum computing, and machine learning",https://github.com/lehner/gpt,https://github.com/lehner/gpt/blob/master/README.md
QuantumultX,RagBagCN,圈X的一些自用分流和重写,https://github.com/RagBagCN/QuantumultX,https://github.com/RagBagCN/QuantumultX/blob/main/README.md
QuantumultX,RagBagCN,圈X的一些自用分流和重写,https://github.com/RagBagCN/QuantumultX,https://github.com/RagBagCN/QuantumultX/blob/master/README.md
QuAlgorithmZoo.jl,QuantumBFS,A curated implementation of quantum algorithms with Yao.jl,https://github.com/QuantumBFS/QuAlgorithmZoo.jl,https://github.com/QuantumBFS/QuAlgorithmZoo.jl/blob/master/README.md
Tangelo,goodchemistryco,Tools developed for running end-to-end chemistry workflows on quantum computers and simulators.,https://github.com/goodchemistryco/Tangelo,https://github.com/goodchemistryco/Tangelo/blob/main/README.rst
Tangelo,goodchemistryco,Tools developed for running end-to-end chemistry workflows on quantum computers and simulators.,https://github.com/goodchemistryco/Tangelo,https://github.com/goodchemistryco/Tangelo/blob/master/README.rst
dwave-networkx,dwavesystems,D-Wave Systems extension of the NetworkX Python package for graphs and graph algorithms.,https://github.com/dwavesystems/dwave-networkx,https://github.com/dwavesystems/dwave-networkx/blob/main/README.rst
dwave-networkx,dwavesystems,D-Wave Systems extension of the NetworkX Python package for graphs and graph algorithms.,https://github.com/dwavesystems/dwave-networkx,https://github.com/dwavesystems/dwave-networkx/blob/master/README.rst
quantum-mobile,marvel-nccr,A Virtual Machine for computational materials science,https://github.com/marvel-nccr/quantum-mobile,https://github.com/marvel-nccr/quantum-mobile/blob/main/README.md
quantum-mobile,marvel-nccr,A Virtual Machine for computational materials science,https://github.com/marvel-nccr/quantum-mobile,https://github.com/marvel-nccr/quantum-mobile/blob/master/README.md
quantum-journal,quantum-journal,LaTeX template class for Quantum - the open journal for quantum science,https://github.com/quantum-journal/quantum-journal,https://github.com/quantum-journal/quantum-journal/blob/master/README.md
critic2,aoterodelaroza,Analysis of quantum chemical interactions in molecules and solids.,https://github.com/aoterodelaroza/critic2,https://github.com/aoterodelaroza/critic2/blob/master/README.md
QWIRE,inQWIRE,A quantum circuit language and formal verification tool,https://github.com/inQWIRE/QWIRE,https://github.com/inQWIRE/QWIRE/blob/master/README.md
aqme,jvalegre,"Automated Quantum Mechanical Environments (AQME) offers transparent and reproducible workflows available for Jupyter Notebooks and command lines, including: 1) RDKit- and CREST-based conformer generation, 2) QM input file creation, 3) post-processing of QM output files, 4) generation of xTB, DFT and RDKit descriptors. https://aqme.readthedocs.io",https://github.com/jvalegre/aqme,https://github.com/jvalegre/aqme/blob/master/README.md
dwave-system,dwavesystems,"An API for easily incorporating the D-Wave system as a sampler, either directly or through Leap's cloud-based hybrid samplers",https://github.com/dwavesystems/dwave-system,https://github.com/dwavesystems/dwave-system/blob/master/README.rst
ecosystem,Qiskit,"The Ecosystem consists of projects, tools, utilities, libraries and tutorials from a broad community of developers and researchers. The goal of the Ecosystem is to recognize, support and accelerate development of quantum technologies using Qiskit.",https://github.com/Qiskit/ecosystem,https://github.com/Qiskit/ecosystem/blob/main/README.md
ecosystem,Qiskit,"The Ecosystem consists of projects, tools, utilities, libraries and tutorials from a broad community of developers and researchers. The goal of the Ecosystem is to recognize, support and accelerate development of quantum technologies using Qiskit.",https://github.com/Qiskit/ecosystem,https://github.com/Qiskit/ecosystem/blob/master/README.md
Awesome-Quantum-Games,HuangJunye,A (not really) complete list of quantum games,https://github.com/HuangJunye/Awesome-Quantum-Games,https://github.com/HuangJunye/Awesome-Quantum-Games/blob/master/README.md
mqt-qcec,cda-tum,MQT QCEC - A tool for Quantum Circuit Equivalence Checking,https://github.com/cda-tum/mqt-qcec,https://github.com/cda-tum/mqt-qcec/blob/main/README.md
mqt-qcec,cda-tum,MQT QCEC - A tool for Quantum Circuit Equivalence Checking,https://github.com/cda-tum/mqt-qcec,https://github.com/cda-tum/mqt-qcec/blob/master/README.md
QuantumSpeech-QCNN,huckiyang,IEEE ICASSP 21 - Quantum Convolution Neural Networks for Speech Processing and Automatic Speech Recognition ,https://github.com/huckiyang/QuantumSpeech-QCNN,https://github.com/huckiyang/QuantumSpeech-QCNN/blob/main/README.md
QuantumSpeech-QCNN,huckiyang,IEEE ICASSP 21 - Quantum Convolution Neural Networks for Speech Processing and Automatic Speech Recognition ,https://github.com/huckiyang/QuantumSpeech-QCNN,https://github.com/huckiyang/QuantumSpeech-QCNN/blob/master/README.md
Quantum-Universal-Education.github.io,Quantum-Universal-Education,"Welcome to this community-driven, open-source educational website for learning about all aspects of quantum computing across the full stack, from hardware to algorithms to everything in between and adjacent!  Whether you are new to quantum science, filling in gaps in your foundation of knowledge, or supplementing a course you are taking, our goal is to help you learn based on your interests and background knowledge.  We are always open to recommendations and contributions from the quantum computing community.",https://github.com/Quantum-Universal-Education/Quantum-Universal-Education.github.io,https://github.com/Quantum-Universal-Education/Quantum-Universal-Education.github.io/blob/master/README.md
TrulyQuantumChess,caphindsight,"A game of truly quantum chess, with interference, entanglement, etc.",https://github.com/caphindsight/TrulyQuantumChess,https://github.com/caphindsight/TrulyQuantumChess/blob/master/README.md
QCompute,baidu,QCompute is a Python-based quantum software development kit (SDK). It provides a full-stack programming experience for advanced users via hybrid quantum programming language features and a high-performance simulator.,https://github.com/baidu/QCompute,https://github.com/baidu/QCompute/blob/master/README.md
QCompute,baidu,QCompute is a Python-based quantum software development kit (SDK). It provides a full-stack programming experience for advanced users via hybrid quantum programming language features and a high-performance simulator.,https://github.com/baidu/QCompute,https://github.com/baidu/QCompute/blob/master/README_CN.md
kyber-k2so,symbolicsoft,Go implementation of the Kyber (version 3) post-quantum IND-CCA2 KEM.,https://github.com/symbolicsoft/kyber-k2so,https://github.com/symbolicsoft/kyber-k2so/blob/main/README.md
kyber-k2so,symbolicsoft,Go implementation of the Kyber (version 3) post-quantum IND-CCA2 KEM.,https://github.com/symbolicsoft/kyber-k2so,https://github.com/symbolicsoft/kyber-k2so/blob/master/README.md
quantum-space-buddies,qsb-dev,Quantum Space Buddies ( QSB ) is a multiplayer mod for Outer Wilds.,https://github.com/qsb-dev/quantum-space-buddies,https://github.com/qsb-dev/quantum-space-buddies/blob/master/README.md
mqt-qmap,cda-tum,MQT QMAP - A tool for Quantum Circuit Mapping written in C++,https://github.com/cda-tum/mqt-qmap,https://github.com/cda-tum/mqt-qmap/blob/main/README.md
mqt-qmap,cda-tum,MQT QMAP - A tool for Quantum Circuit Mapping written in C++,https://github.com/cda-tum/mqt-qmap,https://github.com/cda-tum/mqt-qmap/blob/master/README.md
